,CURSO PHP: Configuração Windows [LEVEL 0 CONFIG],,Data de Início,Data de Fim
,,,,
1,"Installing Apache, MySQL, and PHP",https://www.linkedin.com/learning/installing-apache-mysql-and-php-2,,
,,,,
,CURSO PHP: Configuração Linux [LEVEL 0 CONFIG],,,
,,,,
1,Linux for PHP Developers,https://www.linkedin.com/learning/linux-for-php-developers,,
2,Learning VirtualBox,https://www.linkedin.com/learning/learning-virtualbox,,
,,,,
,PRE-CURSO PHP: Introdução ao PHP [LEVEL 0],,,
,,,,
1,HTML Essential Training,https://www.linkedin.com/learning/html-essential-training,,
2,Programming Foundations: Algorithms,https://www.linkedin.com/learning/programming-foundations-algorithms,,
3,Learning VirtualBox,https://www.linkedin.com/learning/learning-virtualbox,,
,,,,
,CURSO PHP: Introdução [LEVEL 1],,,
,Videos para iniciantes de PHP,,,
1,PHP: Choosing a PHP Editor,https://www.linkedin.com/learning/php-choosing-a-php-editor,,
2,Learning PHP,https://www.linkedin.com/learning/learning-php-2,,
3,PHP Essential Training,https://www.linkedin.com/learning/php-essential-training-2,,
4,(Ver o curso de MySQL: LEVEL 1.1),,,
5,PHP with MySQL Essential Training: 1 The Basics,https://www.linkedin.com/learning/php-with-mysql-essential-training-1-the-basics,,
6,PHP with MySQL Essential Training: 2 Build a CMS,https://www.linkedin.com/learning/php-with-mysql-essential-training-2-build-a-cms,,
,,,,
,CURSO PHP: MySQL [LEVEL 1.1],,,
,,,,
1,MySQL Essential Training,https://www.linkedin.com/learning/mysql-essential-training,,
2,SQL Essential Training,https://www.linkedin.com/learning/sql-essential-training-2,,
3,Advanced MySQL and MariaDB,https://www.linkedin.com/learning/advanced-mysql-and-mariadb,,
4,Learning SQL Programming,https://www.linkedin.com/learning/learning-sql-programming,,
5,Database Clinic: MySQL,https://www.linkedin.com/learning/database-clinic-mysql,,
,,,,
,CURSO PHP: Intermédio [LEVEL 2],,,
,,,,
1,PHP 7 New Features,https://www.linkedin.com/learning/php-7-new-features,,
2,PHP: Strict Data Types,https://www.linkedin.com/learning/php-strict-data-types,não funciona,
3,PHP: Design Patterns,https://www.linkedin.com/learning/php-design-patterns,,
4,Consuming RESTful APIs in PHP with Guzzle,https://www.linkedin.com/learning/consuming-restful-apis-in-php-with-guzzle,,
5,PHP: Accessing Databases with PDO and MySQLi,https://www.linkedin.com/learning/php-accessing-databases-with-pdo-and-mysqli,,
6,PHP: Managing Persistent Sessions,https://www.linkedin.com/learning/php-managing-persistent-sessions,,
7,Ajax with PHP: Add Dynamic Content to Websites,https://www.linkedin.com/learning/ajax-with-php-add-dynamic-content-to-websites,,
8,PHP: Object-Oriented Programming,https://www.linkedin.com/learning/php-object-oriented-programming-2,,
9,PHP: Object-Oriented Programming with Databases,https://www.linkedin.com/learning/php-object-oriented-programming-with-databases,,
OP,jQuery Data with AJAX,https://www.linkedin.com/learning/jquery-data-with-ajax,05-03-2019,05-03-2019
10,Learning the Standard PHP Library,https://www.linkedin.com/learning/learning-the-standard-php-library,06-03-2019,07-03-2019
11,PHP: Creating Secure Websites,https://www.linkedin.com/learning/php-creating-secure-websites,08-03-2019,12-03-2019
12,PHP: Uploading Files Securely,https://www.linkedin.com/learning/php-uploading-files-securely,não funciona,
13,PHP: Exporting Data to Files,https://www.linkedin.com/learning/php-exporting-data-to-files,12-03-2019,14/03/2019
14,PHP: Email with Swift Mailer,https://www.linkedin.com/learning/php-email-with-swift-mailer,14/03/2019,18/03/2019
15,PHP: Clean URLs on Apache Server,https://www.linkedin.com/learning/php-clean-urls-on-apache-server,18/03/2019,19/03/2019
16,API Testing and Validation,https://www.linkedin.com/learning/api-testing-and-validation,20/03/2019,21/03/2019
17,PHP: Performance Optimization,https://www.linkedin.com/learning/php-performance-optimization,21/03/2019,25/03/2019
18,Code Clinic: PHP,https://www.linkedin.com/learning/code-clinic-php,26/03/2019,28/03/2019
,,,,
,CURSO PHP: GIT [LEVEL 2.1],,,
,,,,
1,Git Essential Training,https://www.linkedin.com/learning/git-essential-training,,06-03-2019
2,Learning Git and GitHub,https://www.linkedin.com/learning/learning-git-and-github,12-03-2019,12-03-2019
3,Git Intermediate Techniques,https://www.linkedin.com/learning/git-intermediate-techniques,29/03/2019,01-04-2019
4,Git for Teams,https://www.linkedin.com/learning/git-for-teams,03-04-2019,05-04-2019
,,,,
,CURSO PHP: Avançado [LEVEL 3],,,
,,,,
1,Advanced PHP,https://www.linkedin.com/learning/advanced-php,01-04-2019,02-04-2019
2,PHP: Test-Driven Development with PHPUnit,https://www.linkedin.com/learning/php-test-driven-development-with-phpunit,02-04-2019,03-04-2019
3,Advanced PHP: Debugging Techniques,https://www.linkedin.com/learning/advanced-php-debugging-techniques,05-04-2019,08-04-2019
4,PHP: Testing Legacy Applications,https://www.linkedin.com/learning/php-testing-legacy-applications,09-04-2019,10/04/0219
5,Penetration Testing: Advanced Web Testing,https://www.linkedin.com/learning/penetration-testing-advanced-web-testing,11-04-2019,13/04/2019
,,,,
,CURSO PHP: Laravel [LEVEL 4],,,
,,,,
1,Laravel 5 Essential Training: 1 The Basics,https://www.linkedin.com/learning/laravel-5-essential-training-1-the-basics,,
2,"Laravel 5 Essential Training: 2 Testing, Securing, and Deploying",https://www.linkedin.com/learning/laravel-5-essential-training-2-testing-securing-and-deploying,,
3,"Learning Composer, the PHP Dependency Manager",https://www.linkedin.com/learning/learning-composer-the-php-dependency-manager,,
4,Building RESTful APIs in Laravel,https://www.linkedin.com/learning/building-restful-apis-in-laravel,,
5,Extending Laravel with First Party Packages,https://www.linkedin.com/learning/extending-laravel-with-first-party-packages,,
6,Advanced Laravel,https://www.linkedin.com/learning/advanced-laravel,,
,,,,
,CURSO PHP: Frontend VUE.JS [LEVEL 4.1],,,
,,,,
1,Learning Vue.js (2017),https://www.linkedin.com/learning/learning-vue-js-2017,,
2,Vue.js: Building an Interface,https://www.linkedin.com/learning/vue-js-building-an-interface,,
3,Building Laravel and Vue.js Web Apps,https://www.linkedin.com/learning/building-laravel-and-vue-js-web-apps,,
,,,,
,CURSO PHP: Redis [LEVEL 4.2],,,
,,,,
1,Learning Redis,https://www.linkedin.com/learning/learning-redis,,
2,Learning NoSQL Databases,https://www.linkedin.com/learning/learning-nosql-databases,,
3,Building Complex Express Sites with Redis and Socket.IO,https://www.linkedin.com/learning/building-complex-express-sites-with-redis-and-socket-io,,
4,Databases for Node.js Developers,https://www.linkedin.com/learning/databases-for-node-js-developers,,
,,,,
,CURSO PHP: CI & CD [LEVEL 5],,,
,Continuous Integrations and Continuous Development,,,
1,Jenkins Essential Training,https://www.linkedin.com/learning/jenkins-essential-training,,
2,Learning Jenkins,https://www.linkedin.com/learning/learning-jenkins,,
3,Ver Docker 5.1,,,
4,Docker: Continuous Delivery,https://www.linkedin.com/learning/docker-continuous-delivery,,
5,Programming Foundations: Software Quality Assurance,https://www.linkedin.com/learning/programming-foundations-software-quality-assurance,,
6,Selenium Essential Training,https://www.linkedin.com/learning/selenium-essential-training,,
7,Learning Selenium,https://www.linkedin.com/learning/learning-selenium,,
8,Robot Framework Test Automation: Level 1 (Selenium),https://www.linkedin.com/learning/robot-framework-test-automation-level-1-selenium,,
9,Robot Framework Test Automation: Jenkins CI and Git Version Control,https://www.linkedin.com/learning/robot-framework-test-automation-jenkins-ci-and-git-version-control,,
10,Learning Chef,https://www.linkedin.com/learning/learning-chef,,
11,Test-Driven Infrastructure with Chef,https://www.linkedin.com/learning/test-driven-infrastructure-with-chef,,
12,Learning Puppet,https://www.linkedin.com/learning/learning-puppet,,
13,Learning Ansible,https://www.linkedin.com/learning/learning-ansible,,
14,DevSecOps: Automated Security Testing,https://www.linkedin.com/learning/devsecops-automated-security-testing,,
15,Robot Framework Test Automation: Sauce Labs,https://www.linkedin.com/learning/robot-framework-test-automation-sauce-labs,,
,,,,
,CURSO PHP: Docker [LEVEL 5.1 - COMPLEMENTO],,,
,,,,
1,Docker Essential Training: 1 Installation and Configuration,https://www.linkedin.com/learning/docker-essential-training-1-installation-and-configuration,,
2,Docker Essential Training: 2 Orchestration,https://www.linkedin.com/learning/docker-essential-training-2-orchestration,,
3,"Docker Essential Training: 3 Image Creation, Management, and Registry",https://www.linkedin.com/learning/docker-essential-training-3-image-creation-management-and-registry,,
4,Docker Essential Training: 4 Storage and Volumes,https://www.linkedin.com/learning/docker-essential-training-4-storage-and-volumes,,
5,Docker Essential Training: 5 Networking,https://www.linkedin.com/learning/docker-essential-training-5-networking,,
6,Docker Essential Training: 6 Security,https://www.linkedin.com/learning/docker-essential-training-6-security,,
7,Docker for Developers,https://www.linkedin.com/learning/docker-for-developers,,
